Prov/Terr,FSA,Total,Total Income,Income per capita,Net Income,Taxable Income
13,E3B,28840,1354052000,46950.48544,1227123000,1202013000
13,E3C,9370,497005000,53042.15582,443930000,439327000
13,E3E,3490,174966000,50133.52436,157193000,153233000
13,E3G,6690,316720000,47342.30194,286691000,280632000
13,E3L,7260,255570000,35202.47934,236956000,226499000
13,E3N,11730,405391000,34560.18755,373795000,352418000
13,E3V,10060,386397000,38409.24453,352642000,334594000
13,E3Y,6170,214313000,34734.68395,201012000,191127000
13,E3Z,3550,138572000,39034.3662,129799000,121760000
13,E4A,2600,84748000,32595.38462,79307000,75144000
13,E4B,3650,120517000,33018.35616,112240000,105455000
13,E4C,1840,67362000,36609.78261,62230000,59244000
13,E4E,7290,283881000,38941.15226,255618000,246047000
13,E4G,2170,84505000,38942.39631,75522000,72738000
13,E4H,3430,117628000,34293.87755,110045000,105764000
13,E4J,3870,138562000,35804.13437,129671000,125444000
13,E4K,4770,184951000,38773.79455,170994000,166894000
13,E4L,5840,237651000,40693.66438,217884000,212080000
13,E4M,1520,53977000,35511.18421,49243000,46540000
13,E4N,3540,131447000,37131.9209,121555000,117085000
13,E4P,12620,505918000,40088.58954,463912000,449632000
13,E4R,5670,230283000,40614.28571,211498000,204900000
13,E4S,6350,210086000,33084.40945,197813000,187489000
13,E4T,1880,57589000,30632.44681,54803000,51023000
13,E4V,3660,132650000,36243.1694,123949000,119734000
13,E4W,6890,186829000,27115.96517,175229000,165704000
13,E4X,2590,81997000,31659.07336,77637000,72971000
13,E4Y,2740,81074000,29589.05109,75812000,70606000
13,E4Z,4490,152522000,33969.26503,141277000,135749000
13,E5A,1490,44343000,29760.40268,41986000,39561000
13,E5B,2510,112856000,44962.5498,101981000,99494000
13,E5C,3470,134953000,38891.35447,125046000,121262000
13,E5E,710,26718000,37630.98592,25072000,24171000
13,E5G,2010,98867000,49187.56219,93091000,91123000
13,E5H,2380,85320000,35848.7395,79827000,77375000
13,E5J,1630,73165000,44886.50307,67030000,65033000
13,E5K,5760,267744000,46483.33333,242832000,239029000
13,E5L,2360,79773000,33802.11864,74254000,71838000
13,E5M,1670,61179000,36634.13174,56448000,54467000
13,E5N,9430,403413000,42779.74549,369421000,361168000
13,E5P,2080,77825000,37415.86538,71673000,69136000
13,E5R,1250,45074000,36059.2,42046000,40738000
13,E5S,1490,62841000,42175.16779,57467000,56150000
13,E5T,2480,91337000,36829.43548,84620000,81428000
13,E5V,670,29315000,43753.73134,27514000,25592000
13,E6A,1010,30091000,29793.06931,28224000,26465000
13,E6B,1290,42746000,33136.43411,39733000,37605000
13,E6C,1680,58503000,34823.21429,54171000,52406000
13,E6E,1180,36789000,31177.11864,34640000,33313000
13,E6G,2070,81393000,39320.28986,74580000,72377000
13,E6H,1000,36141000,36141,33269000,32176000
13,E6J,1020,34018000,33350.98039,31749000,30381000
13,E6K,3010,118564000,39390.03322,109518000,106253000
13,E6L,3710,146449000,39474.12399,134993000,131626000
13,E7A,3210,110240000,34342.67913,103394000,97463000
13,E7B,4980,182957000,36738.35341,169112000,161953000
13,E7C,4530,156834000,34621.19205,144047000,137525000
13,E7E,3610,114771000,31792.52078,107845000,101111000
13,E7G,3180,96226000,30259.74843,90711000,85134000
13,E7H,4420,123382000,27914.47964,115812000,109318000
13,E7J,1630,55712000,34179.1411,52128000,47659000
13,E7K,1990,65574000,32951.75879,61866000,58690000
13,E7L,4170,158397000,37984.89209,146838000,141828000
13,E7M,8030,322258000,40131.75592,300177000,288689000
13,E7N,2480,90373000,36440.72581,84051000,81385000
13,E7P,2890,103523000,35821.10727,96576000,91962000
13,E8A,3120,107275000,34383.01282,101249000,95067000
13,E8B,2070,63089000,30477.77778,60157000,55470000
13,E8C,3030,97058000,32032.34323,89667000,84991000
13,E8E,4460,168540000,37789.23767,155509000,149538000
13,E8G,2420,71532000,29558.67769,67207000,61550000
13,E8J,4910,169461000,34513.44196,157718000,150511000
